,ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,exposure_starting_time_tomoe,year_tomoe,month_tomoe,day_tomoe,hh[UT]_tomoe,mm_tomoe,ss_tomoe,ra1[deg],dec1[deg],ra2[deg],dec2[deg],az1[deg],el1[deg],az2[deg],el2[deg],az_middle[deg],el_middle[deg],az3[deg]_mu_at_kiso,el3[deg]_mu_at_kiso,az4[deg]_mu_at_kiso,el4[deg]_mu_at_kiso,az_intersection,el_intersection,distance_modified,vector_az,vector_el,theta
0,571226_095,77.0,9,3,39.5467,-5,34,54.676,287,153,1,500,2018-04-18T13:17:43.937,2018,4,18,22,17,43.93656,0.27768000000000004,108.239599,103.938985,140.603655,59.664314000000005,32.826081,34,84,232.647936,31.238632,203321.4017,235.25548500000002,30.158831,201309.3389,2018-04-18T13:16:56.916414,2018.0,4.0,18.0,13.0,16.0,56.916414,135.53545369563415,-5.4933394118804735,136.19742371831867,-5.647316632221085,237.67380529397582,29.00295062912699,237.0038535845804,29.34294662755078,237.33882943927813,29.172948628338887,226.0,33.991580435767034,242.0,27.365888646274385,237.3823641706299,29.278078133869656,0.11378701932564517,0.04353473135176955,0.10512950553076905,4.41276130647166
1,571311_057,72.0,9,7,48.3132,-9,33,35.007,250,128,1,500,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018.0,4.0,18.0,13.0,17.0,59.811226,136.61792174561555,-9.451188102174365,137.28593123344194,-9.668127701649748,233.96845022461477,26.638775136956042,233.25462258345505,26.912372749420783,233.6115364040349,26.775573943188412,226.0,29.7092766532554,242.0,23.422782231990354,233.59216472330215,26.72627032960764,0.052972713037313296,-0.0193716807327462,-0.049303613580772065,0.47920456194839567
2,571314_058,54.5,9,8,6.5041,-7,10,35.008,306,145,160,440,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018.0,4.0,18.0,13.0,17.0,59.811226,136.83260382914725,-7.038601014791742,137.2056338241022,-7.302684174280703,235.61361179108596,28.57286976215668,235.09935347103533,28.626352336329475,235.35648263106066,28.59961104924308,226.0,29.7092766532554,242.0,23.422782231990354,234.48292486769324,26.376285412207647,2.3887821278296806,-0.8735577633674154,-2.2233256370354333,15.512772412929868
3,571332_057,72.0,8,59,32.4253,-8,53,6.271,341,230,150,460,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018.0,4.0,18.0,13.0,17.0,59.811226,134.63021105191044,-8.801363743410652,135.04396148986447,-8.937042642975776,236.07391909682272,25.79838443764497,235.6380336413605,25.976571865317478,235.8559763690916,25.887478151481226,226.0,29.7092766532554,242.0,23.422782231990354,235.8387292593526,25.843581865676825,0.047162980204508355,-0.017247109739003008,-0.04389628580440075,0.7843006622738931
4,571342_058,73.5,8,55,56.9275,-8,35,19.427,488,9,472,497,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040000000003,0.27144,94.596222,91.496659,137.197844,66.24489799999999,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831,2018-04-18T13:17:59.811226,2018.0,4.0,18.0,13.0,17.0,59.811226,133.96585775971673,-8.582219184508112,133.99920323288492,-8.592391892245358,236.77183690746853,25.509388777533847,236.73752167141987,25.524606997863124,236.7546792894442,25.516997887698487,226.0,29.7092766532554,242.0,23.422782231990354,236.74334583501576,25.488152674658686,0.030991829642552864,-0.011333454428438472,-0.028845213039801365,2.4663110153338854
5,571913_111,103.5,9,14,42.2521,-8,5,19.625999999999998,323,230,140,480,2018-04-18T13:25:25.147,2018,4,18,22,25,25.14744,0.43056000000000005,101.155917,94.914469,168.29380700000002,30.025171000000004,16.686896,70,130,233.66101899999998,29.021196000000003,202557.5758,234.712921,27.689328999999997,198138.8948,2018-04-18T13:24:29.921560,2018.0,4.0,18.0,13.0,24.0,29.92156,138.43151121709923,-8.146377611854792,138.8857506030229,-8.039239397708378,234.7951590613113,27.731806379942345,234.49750556134893,28.112007495424066,234.64633231133013,27.921906937683204,226.56960380223018,38.0,238.4165299592715,23.0,234.57421632825506,27.86495008926769,0.09189557985186687,-0.07211598307506506,-0.056956848415513406,0.24466978995240923
6,572125_014,69.0,9,16,21.8317,-6,26,14.025,227,195,30,420,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23711999999999997,105.624784,102.563296,137.298135,69.661741,39.150389000000004,33,69,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,2018-04-18T13:26:49.352229,2018.0,4.0,18.0,13.0,26.0,49.352229,138.82930942997953,-6.336891085258671,139.34751128252623,-6.535585717911188,236.3353151216494,28.94439375894234,235.74794903930285,29.146784012543122,236.04163208047612,29.04558888574273,226.0,32.09189991322796,242.0,27.238889821649025,236.04178544919395,29.046094530577403,0.000528392526858033,0.0001533687178323362,0.0005056448346714149,2.1393080068884744
7,572126_014,111.5,9,17,23.3033,-5,41,58.946999999999996,419,245,350,490,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23711999999999997,105.624784,102.563296,137.298135,69.661741,39.150389000000004,33,69,232.00517000000002,30.270453000000003,203870.732,234.81553300000002,29.418033,202953.21399999998,2018-04-18T13:26:49.352229,2018.0,4.0,18.0,13.0,26.0,49.352229,139.25533424916898,-5.735470320924058,139.4414854526469,-5.662904082804898,236.44725857798028,29.67354887245835,236.34734366541932,29.85258379017609,236.3973011216998,29.76306633131722,226.0,32.09189991322796,242.0,27.238889821649025,236.1682038152176,29.0077501801978,0.7892959292808082,-0.2290973064822026,-0.7553161511194197,43.961966256182826
8,572211_063,124.5,9,20,28.5457,-9,28,39.202,183,69,90,260,2018-04-18T13:28:23.362,2018,4,18,22,28,23.36184,0.29952,95.67595,88.909058,75.77297800000001,40.111333,29.51057,45,86,232.72604700000002,28.001289,197774.9077,233.466469,25.561245,199190.7933,2018-04-18T13:27:52.240936,2018.0,4.0,18.0,13.0,27.0,52.240936,139.99388468995718,-9.561482716404315,140.22238262561575,-9.408106359644016,233.13965866712397,27.143763350089674,233.06211252888005,27.407519520882605,233.100885598002,27.27564143548614,229.69197646846794,38.0,234.24366897893069,23.0,232.95928087521213,27.232672025074876,0.14798063301489822,-0.14160472278987868,-0.04296941041126345,0.49651869910293994
9,572311_102,71.0,9,20,32.5753,-9,34,57.536,196,148,50,350,2018-04-18T13:29:45.895,2018,4,18,22,29,45.8952,0.31511999999999996,92.712446,90.344938,120.99501399999998,76.725974,28.623540000000002,46,90,232.18951600000003,27.371878999999996,195568.8488,234.81784100000002,26.321669,197250.4379,2018-04-18T13:28:55.117344,2018.0,4.0,18.0,13.0,28.0,55.117344,139.94048737929353,-9.515862291267537,140.3418147265809,-9.653377540991555,233.43661619998247,26.972531175772932,233.00061586637847,27.1297902226156,233.21861603318047,27.051160699194266,226.0,29.84504788069779,242.0,23.4518659111925,233.18743901644524,26.97313503526928,0.08402386924822966,-0.03117701673522788,-0.07802566392498633,1.9467142897986445
